affected_edge_length_m,alternative_path_edge_count,candidate_edge_count,evaluated_edge_count,evaluation_state,excluded_low_confidence_count,local_connectivity_loss_count,local_connectivity_loss_fraction,max_added_replacement_distance_m,max_replacement_ratio,median_added_replacement_distance_m,median_replacement_ratio,p90_replacement_ratio,restriction_id,restriction_set_component_increase,restriction_set_disconnected_boundary_pair_count,scenario,set_evaluation_reason,set_evaluation_state,source_candidate_count
65.00692699743145,2,2,2,EVALUATED,0,0,0.0,171.20428807852352,4.489101313448876,101.61450035863868,3.7491768101243714,4.341116412783975,Tor-RD1H2026-1702-5,0,0,HIGH_ONLY,,EVALUATED,2
65.00692699743145,2,2,2,EVALUATED,0,0,0.0,171.20428807852352,4.489101313448876,101.61450035863868,3.7491768101243714,4.341116412783975,Tor-RD1H2026-1702-5,0,0,HIGH_MEDIUM,,EVALUATED,2
196.0651861805455,1,2,2,EVALUATED,0,1,0.5,432.58237829631764,5.3341437720631895,432.58237829631764,5.3341437720631895,5.3341437720631895,Tor-RD52026-1849-9,1,2,HIGH_ONLY,,EVALUATED,4
382.1211594614234,3,4,4,EVALUATED,0,1,0.25,432.58237829631764,9.540030946400606,402.94149553931993,5.3341437720631895,8.698853511533123,Tor-RD52026-1849-9,,,HIGH_MEDIUM,EDGE_SET_EXCEEDS_BOUND,NOT_EVALUATED,4
0,0,0,0,INSUFFICIENT_EVIDENCE,0,0,,,,,,,Tor-RD52026-5213,,0,HIGH_ONLY,,INSUFFICIENT_EVIDENCE,1
231.73636099044919,1,1,1,EVALUATED,0,0,0.0,197.91078149431038,1.8540342165054844,197.91078149431038,1.8540342165054844,1.8540342165054844,Tor-RD52026-5213,0,0,HIGH_MEDIUM,,EVALUATED,1
0,0,0,0,INSUFFICIENT_EVIDENCE,0,0,,,,,,,Tor-RD52026-874-21,,0,HIGH_ONLY,,INSUFFICIENT_EVIDENCE,6
745.8493698180703,6,6,6,EVALUATED,0,0,0.0,719.7944758685553,7.544373798781917,229.1572207130144,3.4384995778636185,7.252486763932012,Tor-RD52026-874-21,,,HIGH_MEDIUM,EDGE_SET_EXCEEDS_BOUND,NOT_EVALUATED,6
519.4904221997967,3,3,3,EVALUATED,0,0,0.0,551.5739617407799,5.474170115080823,526.503945001288,5.1956770753823465,5.418471507141128,Tor-RD52026-874-6,,,HIGH_ONLY,EDGE_SET_EXCEEDS_BOUND,NOT_EVALUATED,5
764.0528539240221,5,5,5,EVALUATED,0,0,0.0,553.6944847859614,5.530333998806724,532.7922693922153,5.354903193020437,5.5078684453163635,Tor-RD52026-874-6,,,HIGH_MEDIUM,EDGE_SET_EXCEEDS_BOUND,NOT_EVALUATED,5
61.77759863291033,1,1,1,EVALUATED,0,0,0.0,388.40840223280054,7.2872045988833,388.40840223280054,7.2872045988833,7.2872045988833,Tor-RD1H2026-1763-1-1,0,0,HIGH_ONLY,,EVALUATED,1
61.77759863291033,1,1,1,EVALUATED,0,0,0.0,388.40840223280054,7.2872045988833,388.40840223280054,7.2872045988833,7.2872045988833,Tor-RD1H2026-1763-1-1,0,0,HIGH_MEDIUM,,EVALUATED,1
0,0,0,0,INSUFFICIENT_EVIDENCE,1,0,,,,,,,Tor-RDAR2024-3900-1,,0,HIGH_ONLY,,INSUFFICIENT_EVIDENCE,1
