_id,OBJECTID,ROAD_TYPE,SIDEWALK_CODE,SIDEWALK_DESCRIPTION,CROSSWALK,CROSSWALK_TYPE,PX,PX_TYPE,LENGTH,geometry
1,1,Local,7,Sidewalk on both sides,, , , ,93.86768021,"{""coordinates"": [[[-79.5639645086874, 43.737821014982], [-79.5629316779705, 43.7374296840503]]], ""type"": ""MultiLineString""}"
2,2,Collector,7,Sidewalk on both sides,, , , ,32.54628436,"{""coordinates"": [[[-79.567921505888, 43.6361793747354], [-79.5675195898467, 43.6361545439726]]], ""type"": ""MultiLineString""}"
3,3, ,2,Sidewalk on north side only,, , , ,117.66920635,"{""coordinates"": [[[-79.3779147846482, 43.67845335125], [-79.3765249494104, 43.678776670913]]], ""type"": ""MultiLineString""}"
4,4, ,7,Sidewalk on both sides,, , , ,223.26971035,"{""coordinates"": [[[-79.5185205814575, 43.7050148619746], [-79.5167399194211, 43.7065544894416]]], ""type"": ""MultiLineString""}"
5,5,Local,7,Sidewalk on both sides,, , , ,201.33564839,"{""coordinates"": [[[-79.3012214002186, 43.7748379354956], [-79.2988044723914, 43.7753039541562]]], ""type"": ""MultiLineString""}"
6,6,Trail,13,Not applicable,, , , ,104.60217072,"{""coordinates"": [[[-79.4863784292506, 43.7056146755874], [-79.4854883178134, 43.7062999320102]]], ""type"": ""MultiLineString""}"
7,7,Major Arterial,7,Sidewalk on both sides,, , , ,176.4252392,"{""coordinates"": [[[-79.3946846548991, 43.7194862263461], [-79.3944777295406, 43.718956014797], [-79.3942569086617, 43.7179314231302]]], ""type"": ""MultiLineString""}"
8,8,Major Arterial,7,Sidewalk on both sides,, , , ,178.18771978,"{""coordinates"": [[[-79.3944898468961, 43.7195404502537], [-79.3942874484918, 43.7190551407893], [-79.3940801089331, 43.718023135232], [-79.3940407988834, 43.7179772644147]]], ""type"": ""MultiLineString""}"
9,9,Local,7,Sidewalk on both sides,, , , ,113.19769412,"{""coordinates"": [[[-79.5910443754049, 43.7478602229754], [-79.5905318141128, 43.7469114707825]]], ""type"": ""MultiLineString""}"
10,10,Trail,13,Not applicable,, , , ,48.86635095,"{""coordinates"": [[[-79.3310423744927, 43.7352378187291], [-79.330822335135, 43.7348279104867]]], ""type"": ""MultiLineString""}"
11,11,Pathway,12,N/A,, , , ,18.06408578,"{""coordinates"": [[[-79.4475991469827, 43.72043561194], [-79.4475286631906, 43.720281253166]]], ""type"": ""MultiLineString""}"
12,12,Collector,7,Sidewalk on both sides,, , , ,125.49990735,"{""coordinates"": [[[-79.3779579853652, 43.7022557434596], [-79.3764536179147, 43.7025471729955]]], ""type"": ""MultiLineString""}"
13,13,Major Arterial,7,Sidewalk on both sides,, , , ,126.01474517,"{""coordinates"": [[[-79.3872362881735, 43.7629832173662], [-79.3871691975108, 43.7625729852565], [-79.3871724996788, 43.7624151617687], [-79.3872116369392, 43.7622615591946], [-79.3870833892319, 43.7622299464269], [-79.3870213198329, 43.7619243038967]]], ""type"": ""MultiLineString""}"
14,14,Major Arterial,7,Sidewalk on both sides,, , , ,77.87470117,"{""coordinates"": [[[-79.3794932041989, 43.7244218789502], [-79.3793575832231, 43.7238576459425], [-79.3793125419251, 43.7237336332574]]], ""type"": ""MultiLineString""}"
15,15,Major Arterial,7,Sidewalk on both sides,, , , ,227.96316375,"{""coordinates"": [[[-79.2248539487493, 43.757705606328], [-79.2242220452574, 43.7557054865099]]], ""type"": ""MultiLineString""}"
